name,repo,category,license,created,stars,description
laya.axera,https://github.com/AXERA-TECH/laya.axera,local_server,Apache-2.0,2026-09-22,2,"Laya typed-decision models for AX8850/NPU3: ONNX export, task-aware calibration, Pulsar2 build, and board validation."
laya-candle,https://github.com/b0xtch/laya-candle,local_server,Apache-2.0,2026-09-20,4,Native Rust inference for Laya typed decision models with Candle and optimized Metal kernels.
nimble,https://github.com/bespokelabsai/nimble,open_model_training,unknown,2026-09-18,1719,"Open recipe (data, model, training code) for Bespoke-Nimble-9B, a Jev-like decision model: reads a prompt once and scores one answer token per question, no reasoning generated."
LayaStudio,https://github.com/biplovgautam/LayaStudio,open_model_training,Apache-2.0,2026-09-22,1,"Fine-tune Laya typed-decision models on your own data, on your own Mac — and prove the result is better before you ship it."
stuntd,https://github.com/bladedevoff/stuntd,local_server,Apache-2.0,2026-09-23,23,Local proxy that learns your app's typed LLM decisions and answers them with a Laya head. Jev and chat-completions compatible.
laya-decision-api,https://github.com/bmw8080/laya-decision-api,local_server,Apache-2.0,2026-09-24,1,把本地 System-1 决策模型（Laya）包成 HTTP 服务：意图分类 / 工单分派 / LLM 路由 / 内容审核，离线零 token、不生成文字；Apple Silicon(MLX) 与 Linux(torch) 双后端；可导出 OpenAPI 3.0/3.1；Java/TS/Python 零依赖 SDK。
jevmlx,https://github.com/bnsd55/jevmlx,local_server,MIT,2026-09-17,60,"Jev-style parallel constrained decisions for any MLX model on Apple Silicon. Typed, schema-valid JSON in one forward pass."
reflexbench,https://github.com/brida-ai/reflexbench,evaluation,Apache-2.0,2026-09-23,5,ReflexBench — open benchmark and evaluation harness for System One models and typed decision engines
kevala,https://github.com/bvolpato/kevala,local_server,Apache-2.0,2026-09-21,7,"Decision models (Laya, Kev) in any web page: a zero-dependency Rust engine compiled to WebAssembly, with WebGPU kernels. One import, no server."
Decis,https://github.com/chaitin/Decis,local_server,Apache-2.0,2026-09-22,2,"Self-hosted, Jev-compatible decision-model API — one /v1/systemone endpoint, open weights (Laya, kev), one Docker image per engine."
docker-laya,https://github.com/chneau/docker-laya,local_server,MIT,2026-09-20,1,"Dockerized FastAPI service for Laya typed-decision predictions: multi-checkpoint routing, API-key/Basic auth, presets and bulk inference."
laya-mac-serve,https://github.com/chrisns/laya-mac-serve,local_server,MIT,2026-09-21,1,Serve the Laya decision engine from a macOS menu bar app with an chat-completions-compatible endpoint for n8n
jev_nx,https://github.com/dannote/jev_nx,local_server,Apache-2.0,2026-09-21,8,"Open decision models as a Jev backend, running in-process on Nx"
Jev-Compatible,https://github.com/David-Lolly/Jev-Compatible,local_server,unknown,2026-09-21,5,Turn your existing SGLang / vLLM deployment into a Jev-compatible decision service. No training. No model changes. 把你现有的 SGLang / vLLM 部署变成一个兼容 Jev 的决策服务。无需任何修改。无需训练。无需更改模型。
OpenDecision,https://github.com/deepanwadhwa/OpenDecision,open_model_training,Apache-2.0,2026-09-17,,"Open-source equivalent of TypeSafe's Jev: Python API, FastAPI server and a TypeSafe-SDK-compatible endpoint providing Choice, Noul, Score and Relation over a ModernBERT zero-shot backend."
pi-typesafe,https://github.com/DevMortimer/pi-typesafe,integration,MIT,2026-09-16,45,"TypeSafe decisions for Pi: batched evaluation tool, terminal playground, and typed API for extension authors"
laya-fast,https://github.com/DJLougen/laya-fast,local_server,Apache-2.0,2026-09-23,5,Apple Silicon runtime for Laya: Neural Engine + GPU router for typed decisions
dohnuts.cpp,https://github.com/DreamBlooms/dohnuts.cpp,local_server,Apache-2.0,2026-09-21,5,"The same decisions, on CPU. System One model that can run on your Personal Computer."
jev-vs-open-decision-models,https://github.com/elcronos/jev-vs-open-decision-models,evaluation,unknown,2026-09-20,1,"Zero-shot benchmark of TypeSafe Jev 1.13 (decision model) vs open-weight non-generative models PrismNLI-0.4B and Laya: frozen protocol, raw predictions, calibration, latency, report"
snap,https://github.com/emnlmn/snap,local_server,unknown,2026-09-23,19,"Typed decisions from unstructured state: one forward pass, zero generated text. Local, deterministic, Jev-compatible. Not affiliated with typesafe.ai."
lev,https://github.com/franckverrot/lev,open_model_training,Apache-2.0,2026-09-21,4,Jev-style decision model based on LFM2.5-350M
jevbench,https://github.com/fstandhartinger/jevbench,evaluation,MIT,2026-09-16,116,"JevBench, Benchmark Heaven's independent public benchmark for Jev-class decision models: bounded rubric decisions scored on Intelligence, Calibration, Speed and Cost axes; not affiliated with TypeSafe."
laya,https://github.com/ganeshdipdumbare/laya,local_server,unknown,2026-09-22,1,"Self-hosted HTTP server for Laya: typed decisions (choice, score, true/false) with calibrated probabilities in one forward pass. Runs locally in Docker — no API key, data stays on the machine."
Laya4j,https://github.com/githubMJ/Laya4j,local_server,unknown,2026-09-21,6,"Laya4j is a pure-Java 17+ SDK that ports the Laya System 1 decision framework — originally a Python research project — into a production-grade, deployable inference library running entirely on Apache 2.0 multilingual checkpoints via ONNX Runtime and HuggingFace Hub."
laya-tetris-finetuning,https://github.com/hama-jp/laya-tetris-finetuning,open_model_training,Apache-2.0,2026-09-20,1,"Fine-tuning 421M Laya for real-time Tetris decisions: code, reproduction guide and experiment results"
SystemOneHarness,https://github.com/HarnessRouter/SystemOneHarness,integration,Apache-2.0,2026-09-19,158,The system one Harness for system one models
jev-laya-benchmark,https://github.com/harrymunro/jev-laya-benchmark,evaluation,MIT,2026-09-21,3,Speed and accuracy benchmark: TypeSafe's Jev API vs the local Laya MLX typed-decision model on synthetic tasks
typed-decision-bert,https://github.com/hawkymisc/typed-decision-bert,open_model_training,MIT,2026-09-21,31,Unofficial PoC: a BERT-style encoder decision engine behind a typed-decision (noul / choice / score) HTTP API. Not affiliated with TypeSafe.
decision-models-css,https://github.com/hazemibrahim97/decision-models-css,evaluation,MIT,2026-09-21,,"Replication package for 'Evaluating Decision Models for Text Annotation in Computational Social Science' (arXiv 2609.24574): collection/analysis scripts and per-call records evaluating Jev, open decision models, and 19 LLM baselines on 18 CSS tasks."
openJev-verdict-2.0,https://github.com/Heman10x-NGU/openJev-verdict-2.0,open_model_training,NOASSERTION,2026-09-19,283,"Later, more-starred repo from the same author as Verdict-open-jev; bundles the original 151M Verdict model plus a second, specialized 'Verdict 2.0' architecture for typed software workflows."
Verdict-open-jev,https://github.com/Heman10x-NGU/Verdict-open-jev,open_model_training,NOASSERTION,2026-09-17,,"OpenJev (Verdict): open, post-trained 151M non-autoregressive decision model on a ModernBERT+GLiClass backbone, inspired by Jev, calibrated with RLCD + Brier loss."
JevEmbed,https://github.com/HITsz-TMG/JevEmbed,integration,Apache-2.0,2026-09-22,23,"Meet JevEmbed — turn embeddings into decisions. Choose, score, and judge with your choice of embedding model."
decision-infra,https://github.com/hufaei/decision-infra,local_server,MIT,2026-09-22,1,"Jev-compatible decision gateway for hosted Jev and local Reflex, SemIf, and Laya models"
jevcache,https://github.com/hyperspaceai/jevcache,integration,unknown,2026-09-18,72,"A decision cache for TypeSafe Jev-class models — memoize decisions so repeats are free, deterministic, and shareable. One 2 MB binary."
openthai-systemone,https://github.com/iapp-technology/openthai-systemone,open_model_training,Apache-2.0,2026-09-20,47,"OpenThai-SystemOne: open Thai + English System One decision model (0.8B, 256-way slot head, Apache-2.0)"
open-alternative-jev,https://github.com/ikermoel/open-alternative-jev,local_server,Apache-2.0,2026-09-18,53,"Open-source alternative to TypeSafe's Jev: a System One style model layer that gives typed, calibrated decisions from any open-weights LLM in one forward pass (HF + vLLM), with honest benchmarks"
sysone-bench,https://github.com/instax-dutta/sysone-bench,evaluation,MIT,2026-09-21,4,First independent head-to-head benchmark of System One decision models (Laya vs Jev) on byte-identical inputs
open-jev-typed-decision-engine,https://github.com/intikhab49/open-jev-typed-decision-engine,open_model_training,Apache-2.0,2026-09-19,43,"Open reproduction of TypeSafe Jev: a 150M typed decision engine (noul/choice/score in one non-autoregressive pass, calibrated confidence). 0.697 vs Jev's 0.727, 2.5x better calibrated, 4x faster, free. Trains on a Colab T4 in 30 min."
kev,https://github.com/jaredpalmer/kev,open_model_training,Apache-2.0,2026-09-17,6608,"Small Jev-like decision models (0.8B, 4B, 9B) built on Qwen3.5 that you can train yourself; kev.serve runs a local server exposing the same API shape as TypeSafe's System One."
jev-on-orin,https://github.com/JayDoubleu/jev-on-orin,evaluation,Apache-2.0,2026-09-20,0,Open-source Jev-style typed decisions on a Jetson AGX Orin: benchmarks and a 4.5x faster Nimble scorer
lev,https://github.com/jlt-commons/lev,local_server,Apache-2.0,2026-09-19,8,Jolt implementation of Laya non-autoregressive System 1 decision engine
hermes-nerve,https://github.com/keeltrace/hermes-nerve,integration,MIT,2026-09-18,22,"Nerve is a supervisory nervous system for Hermes agents, adding typed System One decisions, ranking, verification, token-aware oversight, and an opt-in tool gate powered by TypeSafe Jev or Open Source Laya"
typed-decisions,https://github.com/kotoba-lang/typed-decisions,open_model_training,NOASSERTION,2026-09-18,5,"Jev-shaped typed-decision model (state + Choice/Score/Noul questions -> calibrated probabilities, one pass) on ModernBERT / DeBERTa / LLaDA-MoE, with measured latency, accuracy, calibration and training cost"
reflex,https://github.com/kshetrajna12/reflex,open_model_training,MIT,2026-09-17,135,A small open decision model: state + typed questions -> calibrated probabilities. A Jev / System One re-creation on Qwen3.5.
jev-little-airways,https://github.com/lbotinelly/jev-little-airways,evaluation,MIT,2026-09-17,5,"A show-and-tell capability study for Jev, TypeSafe's System One decision model."
JEV-CPU,https://github.com/leesk212/JEV-CPU,local_server,MIT,2026-09-19,18,"Run SemIf (Jev-style semantic-if decisions) on a CPU — no GPU. Reads typed option probabilities straight from an open model in one forward pass, plus a web UI."
laya-zig,https://github.com/li-ming1/laya-zig,local_server,Apache-2.0,2026-09-21,4,"A from-scratch, dependency-free Zig CPU runtime for the Laya System-1 decision model: tokenizer + mmBERT-base encoder + decision head in one binary, no Python/torch/BLAS. Work in progress, see README."
Valen,https://github.com/Liuziyu77/Valen,open_model_training,Apache-2.0,2026-09-23,62,"Train a Jev-like multimodal model by yourself. System One Model, now with vision."
Laya,https://github.com/ljw98/Laya,local_server,unknown,2026-09-23,3,Laya Console: typed decisions web UI
JEV-mini,https://github.com/ljwwwiop/JEV-mini,open_model_training,Apache-2.0,2026-09-22,6,JEV-mini is a minimal learning project to train a fast decision-making model.
laya.cpp,https://github.com/lkarlslund/laya.cpp,local_server,MIT,2026-09-20,86,"C++ inference for Laya typed decisions - supports CUDA, Vulkan, Core ML, CPU"
agent-jev,https://github.com/malevrigns/agent-jev,open_model_training,Apache-2.0,2026-09-21,289,"AgentJev-0.6B - a fast 'System One' decision model for AI Agents: feed it any unstructured state (diffs, traces, logs) and structured questions, get calibrated probability distributions back in one ~50ms forward pass. Zero output-token decoding."
decider,https://github.com/Mapika/decider,open_model_training,Apache-2.0,2026-09-16,356,"Independent open reproduction of the System One model class: 2B, 4B and 35B-MoE models on Qwen3.5 bases returning a one-pass probability distribution over Choice/Score/Noul questions."
metask-jev,https://github.com/metask-ai/metask-jev,open_model_training,unknown,2026-09-21,2,"Metask-Jev: calibrated typed-decision models (Jev-class). Single forward pass, candidate-logit readout. metask-jev-4b beats Bespoke Nimble-9B and Jev on JevBench."
snapjudge,https://github.com/Micha0827/snapjudge,local_server,MIT,2026-09-18,12,"Typed decisions (choice / score / yes-no) from local Qwen models on Apple Silicon. Probabilities come straight from the logits, no text generation. TypeSafe-compatible HTTP API, runs on MLX."
system-one-open,https://github.com/mithalouni/system-one-open,open_model_training,NOASSERTION,2026-09-17,35,"Open replica of TypeSafe's Jev: typed calibrated decisions in one forward pass, on Gemma 4 E2B / Gemma 3 270M (Modal)"
laya-coreml,https://github.com/mizorewww/laya-coreml,local_server,Apache-2.0,2026-09-19,1409,"Local Laya typed decisions on Apple Core ML and Neural Engine. Validated ports, ~5 ms short decisions on M3 Max, reproducible speed and energy benchmarks."
laya-mlx,https://github.com/mizorewww/laya-mlx,local_server,Apache-2.0,2026-09-19,6155,"Native MLX runtime for Laya typed decision models — 7–14 ms short decisions on M3 Max. No text generation, PyTorch, or cloud API."
laya-onnx,https://github.com/MstyAI/laya-onnx,local_server,Apache-2.0,2026-09-20,4,Run Laya typed decision models locally with ONNX Runtime and Go.
laya,https://github.com/NandhaKishorM/laya,open_model_training,Apache-2.0,2026-09-18,22295,"Multilingual, non-autoregressive System 1 decision engine: typed choice, score and yes/no decisions over 100+ languages in one forward pass, trained with RL against strictly proper scoring rules (RLCD)."
laya-go,https://github.com/neko233-com/laya-go,local_server,MIT,2026-09-21,3,Laya — open horizontal System 1 decision models: Go server + agent CLI/MCP replacing JEV (non-autoregressive structured prediction)
decision-model-benchmark,https://github.com/nibzard/decision-model-benchmark,evaluation,unknown,2026-09-18,7,"Independent, reproducible benchmark: a decision model (jev), eight constrained LLMs, and deterministic baselines on typed decisions - accuracy, calibration, latency, cost, failure modes"
open-jev,https://github.com/nico-martin/open-jev,local_server,MIT,2026-09-20,33,"open-jev is a browser-focused TypeScript library for typed decisions: one piece of text (the state) plus any number of typed questions go in, and one forward pass returns a calibrated probability distribution per question. Nothing is generated, so an answer"
open-bonsai-jev,https://github.com/NicolaiLassen/open-bonsai-jev,open_model_training,MIT,2026-09-20,5,"openjev's mechanism, Bonsai's weights: typed decisions read straight from one forward pass of a 1.75-bit 27B model. Credit to TheoLeeCJ (SemIf/OpenJev) and PrismML."
AnyJev,https://github.com/nokia-applied-research/AnyJev,local_server,Apache-2.0,2026-09-21,465,"Turn any LLM into a Jev-style decision model: typed decisions, real probabilities, no training. (continue updating)"
ruby_decision_model,https://github.com/obie/ruby_decision_model,integration,MIT,2026-09-18,50,Ruby client for decision models such as Typesafe Jev
jevals,https://github.com/openlayer-ai/jevals,integration,MIT,2026-09-20,82,"Agent evals and guardrails as Jev decisions: one request per trace, a fraction of a cent, fast enough for the agent loop. Runs locally with Kev or Laya."
laya-micro,https://github.com/osamabinIaggin/laya-micro,open_model_training,MIT,2026-09-22,1,"Shrink Convai's Laya typed-decision model to run on single-board computers: BPE-merge-closed vocabulary pruning plus block-wise int8, evaluated on human-labelled robot commands with majority-class baselines."
jev-foundation-models,https://github.com/peterfriese/jev-foundation-models,integration,Apache-2.0,2026-09-21,43,"A lightweight, native Swift 6 bridge integrating TypeSafe AI's Jev System One decision model into Apple's Foundation Models framework."
laya-vs-jev-arena,https://github.com/PromptEngineer48/laya-vs-jev-arena,evaluation,MIT,2026-09-21,29,"Laya (open source, local) vs TypeSafe Jev (API): two AI models race in Snake and fight in a Mortal-Kombat-style arena. Every move is a real model decision."
JevPokerBench,https://github.com/Prophetlab/JevPokerBench,evaluation,MIT,2026-09-21,11,"ProphetLab's Texas Hold'em benchmark and playground for decision models: cash and SNG leaderboards, live replays, and bring-your-own-agent tables."
dohnuts,https://github.com/PsiACE/dohnuts,open_model_training,Apache-2.0,2026-09-21,27,Dohnuts builds small multimodal models for direct decisions. -> System One model
mini-jev,https://github.com/r-ms/mini-jev,evaluation,MIT,2026-09-17,53,"mini-Jev: what a Jev-style typed-decision interface looks like on a frozen Qwen3-4B — read the option letter's logits instead of generating JSON. Preregistered experiment, results, teaching bench."
laya-vision,https://github.com/r33drichards/laya-vision,open_model_training,Apache-2.0,2026-09-19,46,"Image inputs for Laya: calibrated, non-generative typed decisions over images + text (SmolVLM-256M backbone)"
laya-web,https://github.com/r4ai/laya-web,local_server,Apache-2.0,2026-09-20,3,Laya typed decisions in the browser with ONNX Runtime WebGPU and Wasm
stuntdouble,https://github.com/ReallyArtificial/stuntdouble,local_server,MIT,2026-09-22,1,"Drop-in /v1/systemone proxy that shadows Jev with local decision models (Kev, Laya) and reports whether you can swap"
laya,https://github.com/receptron/laya,local_server,MIT,2026-09-19,390,"Run Laya, the open-source Jev-compatible System-1 decision model, from Node.js / TypeScript via ONNX Runtime"
rizzo-flow,https://github.com/Rizzo-AI-Academy/rizzo-flow,local_server,Apache-2.0,2026-09-21,406,"The open, local take on Jev: typed decisions from an LLM, without generating a single token"
rev,https://github.com/robbalian/rev,open_model_training,MIT,2026-09-22,,"Trains 3 open LoRA+pointer-head decision models on Qwen (4B, 9B, 27B) that beat hosted Jev on accuracy, speed and (4B/9B) cost on a 975-question public benchmark."
jev-on-a-laptop,https://github.com/rorshopping/jev-on-a-laptop,evaluation,NOASSERTION,2026-09-16,24,"Unofficial study: Jev-style parallel typed decisions on stock 1.5B-8B models on an Apple Silicon laptop. Benchmarks, research notes, and a Hugging Face Space demo."
openjev,https://github.com/S1LV3RJ1NX/openjev,open_model_training,Apache-2.0,2026-09-20,10,"Open System One models: typed decisions with calibrated probabilities, trainable on your own data. No text generation."
sarvam-jev,https://github.com/SAGAR-TAMANG/sarvam-jev,local_server,unknown,2026-09-18,57,Generation-free typed decisions on Indic LLMs. An open Jev-style inference engine on sarvam-1: constrained logit readout instead of autoregressive JSON. Runs client-side in the browser.
jev-tests,https://github.com/schacon/jev-tests,evaluation,unknown,2026-09-22,3,"macOS demos comparing typed decision models (Laya, Jev, Kev) against a generative comparator."
system-one,https://github.com/sgoedecke/system-one,local_server,unknown,2026-09-17,33,"Batched single-token choice inference for open language models, compatible with TypeSafe"
qwen-rlcd,https://github.com/shamazharikh/qwen-rlcd,open_model_training,unknown,2026-09-16,4,Jev-style calibrated decision model (Choice/Score/Noul) on Qwen3.5-0.8B
semdecide,https://github.com/sharziki/semdecide,integration,MIT,2026-09-16,55,"Typed semantic decisions for Unix pipelines and CI, powered by TypeSafe AI Jev."
edgefront_JEV,https://github.com/shivpratapsinghpanwar/edgefront_JEV,evaluation,MIT,2026-09-21,3,"Do you need a hosted decision model, or does a small local model match it? Measure accuracy, latency, calibration and cost on your own task."
blink,https://github.com/sqliteai/blink,open_model_training,Apache-2.0,2026-09-19,14,"Embeddable, dependency-free C99 one-pass typed-decision model (also builds to a 66KB WebAssembly module) implementing Jev's decision-request interface with zero-allocation scoring."
laya-serve,https://github.com/stiermid/laya-serve,local_server,Apache-2.0,2026-09-22,2,Jev-compatible HTTP server for Laya System One decision models
qwen-jev-like,https://github.com/sting8k/qwen-jev-like,open_model_training,MIT,2026-09-22,5,Turn Qwen-series models into jev-like typed-decision engines
LayaKit,https://github.com/tahby/LayaKit,local_server,Apache-2.0,2026-09-20,1,A Swift package that runs one Laya typed decision per call on-device via Core ML — no Python at runtime.
SemIf-OpenJev,https://github.com/TheoLeeCJ/SemIf-OpenJev,open_model_training,MIT,2026-09-15,,"Independent, unaffiliated project (formerly named OpenJev, renamed SemIf) reproducing Jev's typed-decision interface pattern with open models, reading option probabilities directly from a frozen model with no generation."
jevals,https://github.com/theyashwanthsai/jevals,evaluation,MIT,2026-09-18,7,"LLM/LLM agent eval framework, graded by a calibrated decision model. Research preview."
tev1,https://github.com/togethercomputer/tev1,open_model_training,MIT,2026-09-19,44,"Together AI's fine-tune of Qwen3.5-4B into a decision-answering model (tev1-4B-experimental): given context, a question and 2-24 options, it returns one answer letter."
system-one-adapter-python,https://github.com/typesafe-ai/system-one-adapter-python,vendor_sdk,MIT,2026-09-04,,"Official adapter: a drop-in replacement for the SDK's system_one API, backed by third-party generative LLM APIs instead of Jev, for cost, speed and quality comparison."
typesafe-sdk-js,https://github.com/typesafe-ai/typesafe-sdk-js,vendor_sdk,MIT,2026-09-04,,"Official JavaScript/TypeScript SDK for TypeSafe AI's System One API (Jev), Node.js 20+, ESM/CommonJS/TypeScript declarations."
typesafe-sdk-python,https://github.com/typesafe-ai/typesafe-sdk-python,vendor_sdk,MIT,2026-09-04,,Official Python SDK for TypeSafe AI's System One API (Jev): TypeSafeClient with typed Choice/Score/Noul question helpers.
laya-vs-jev,https://github.com/virajbhartiya/laya-vs-jev,evaluation,Apache-2.0,2026-09-21,95,"Laya vs Jev: local MLX and hosted AI decisions playing T-Rex side by side, with live metrics and replay recording"
metask-jev,https://github.com/wayfind/metask-jev,open_model_training,unknown,2026-09-21,0,"Metask-Jev: calibrated typed-decision models (Jev-class). Single forward pass, candidate-logit readout. metask-jev-4b beats Bespoke Nimble-9B and Jev on JevBench."
von,https://github.com/wfzyx/von,open_model_training,Apache-2.0,2026-09-18,619,"Open-source, non-autoregressive System One decision model (Von) with calibrated discrete, probabilistic and ordinal inference in sub-25ms; v1.2 adds order-invariant option scoring."
laya-ternary-lite,https://github.com/xixi3548942758-design/laya-ternary-lite,open_model_training,Apache-2.0,2026-09-23,1,"1.58-bit ternary quantization of the Laya decision model -- 9.17x smaller, 81.2% agreement"
laya-jev-lab,https://github.com/yibie/laya-jev-lab,evaluation,MIT,2026-09-20,9,"Independent measurements of typed-decision models: Jev (TypeSafe API) vs Laya (open weights), and a local-first cascade that matches Jev's accuracy at 1.8x the speed"
LLM2Jev,https://github.com/Yinsongxu/LLM2Jev,local_server,Apache-2.0,2026-09-19,309,Turn local language models into Jev-style structured decision models. Get results from text and images with prefill alone—no token-by-token decoding required.
OpenJev,https://github.com/zhangcy122/OpenJev,local_server,NOASSERTION,2026-09-20,27,"OpenJev: Open-source alternative to TypeSafe Jev. Typed probabilistic decision API (Choice, Noul, Score) powered by open LLMs & constrained logprob calibration."
structured-decision-bench,https://github.com/zhengbangbo/structured-decision-bench,evaluation,unknown,2026-09-21,3,Jev vs Laya CoreML vs Qwen3 8B
laya-windows,https://github.com/Zuhair-01/laya-windows,local_server,Apache-2.0,2026-09-22,2,"Windows port of Laya typed-decision AI (ONNX Runtime + DirectML) — Core ML/Apple Neural Engine alternative with first-class Arabic support. No text generation, no hallucination, runs on any DX12 GPU."
jev-forge,https://github.com/zwliJay/jev-forge,open_model_training,NOASSERTION,2026-09-19,36,"An open training and inference stack for Jev-style decision models. Train models to score dynamic candidate branches from a shared prefix, with support for high-cardinality choice, calibration, and fast batched inference."
